theta,phi,psi,theta_dot,phi_dot,psi_dot
2.800000000000000266e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.995262314968878741e+02,-1.995262314968878741e+02
5.940472417234455849e-01,8.315535557155151025e+00,-1.304246441653674315e+00,9.029176078541382822e+00,2.307383081521245174e+02,-1.987933991221687222e+02
2.716828091892114383e+00,1.162306975511306106e+01,-1.022936947628521054e+00,2.734516119944515822e+01,6.281367488382743147e+01,4.956230832565626088e+01
4.160049437248273807e-01,1.537296129341432760e+01,-3.490218325040815195e+00,9.559254965433542139e+00,-2.391315983844037873e+00,-5.844924598470171873e+00
2.674265063552233368e+00,1.680044598672684231e+01,-3.352675893347690117e+00,-4.085187191519231931e+01,6.905580520470532235e+01,5.381906928776425048e+01
6.172468200291264528e-01,2.023662263287232221e+01,-3.965709192484053069e+00,4.087377492193244422e+01,2.205973824481688439e+02,-1.880380441921425643e+02
1.182266634483410739e+00,2.521252607829439540e+01,-2.936460957066752364e+00,-7.936664252924265384e+01,3.427060313145513248e+01,-2.112022210825614010e+01
9.110986468407444860e-01,3.900332508968603662e+01,-4.313079080052964365e+00,-5.176756704942916087e+01,3.664475687225470324e+02,-2.364906968306527233e+02
1.035564000661492123e+00,4.647398106571994703e+01,-5.554842724059950498e+00,1.310254527349256080e+02,7.337026740598508923e+01,-4.825285651427299172e+01
2.261728264154921675e+00,6.003053256044626806e+01,-5.274377959776704650e+00,1.247105099236018049e+02,2.191104952395928933e+02,1.355962287668043587e+02
2.078015761192724575e+00,6.752914755579793393e+01,-4.446430327670682026e+00,-1.622413201607189990e+02,2.285052609197377365e+02,1.060103371328037269e+02
2.051198633054180487e+00,7.979743927981176910e+01,-4.214740604879876784e+00,-9.636775098859382638e+01,1.602153346310990401e+01,3.238809072547581991e+00
2.074698089725225625e+00,9.117037719968215015e+01,-4.842793332781726967e+00,-1.424926944593159988e+02,2.230511827061091878e+02,1.048467072742798365e+02
9.431392489967216353e-01,9.937836903435918146e+01,-6.098474544490402494e+00,1.138140810945192669e+02,3.165028497516518087e+02,-1.907862143237343275e+02
5.187219780709003691e-01,1.104709813296355208e+02,-6.036077730762150928e+00,9.672514615425939155e+00,2.203190761637605419e+02,-2.007709867319973398e+02
8.294278645999187960e-01,1.227133984909070676e+02,-6.678239109071656188e+00,5.029345535685700952e+01,2.632139893403764290e+02,-1.842883286501352700e+02
1.833233614216125851e+00,1.319371080465062107e+02,-6.102806884966757828e+00,-1.800512571803287756e+02,2.638985347223447775e+02,6.245871061914591849e+01
1.995605639940878806e+00,1.411720210631885095e+02,-7.603162183228954873e+00,1.159282064860437771e+02,1.470908458509585444e+02,5.740460674804585750e+01
2.224204306588020597e+00,1.531146164003092451e+02,-7.725854289342163561e+00,8.770424474360365252e+01,9.212466429101188226e+01,5.570497575473089569e+01
1.820027438291171640e+00,1.643479309664722905e+02,-7.997103754793830177e+00,1.534002793249296133e+02,1.924209558436944860e+02,4.362845727620613445e+01
